Warning: Duplicate variant ID 38196 in sam1.Filter.Stand.vcf; Replacing with 38196_duplicate1
Warning: Duplicate variant ID 31572 in sam1.Filter.Stand.vcf; Replacing with 31572_duplicate1
Warning: Duplicate variant ID 38196 in sam2.Filter.Stand.vcf; Replacing with 38196_duplicate1
Warning: Duplicate variant ID 31572 in sam2.Filter.Stand.vcf; Replacing with 31572_duplicate1
Warning: Duplicate variant ID 31572 in sam3.Filter.Stand.vcf; Replacing with 31572_duplicate1
Warning: Duplicate variant ID 32622 in sam3.Filter.Stand.vcf; Replacing with 32622_duplicate1
Warning: Duplicate variant ID 32413 in sam3.Filter.Stand.vcf; Replacing with 32413_duplicate1
Warning: Duplicate variant ID 31572 in sam4.Filter.Stand.vcf; Replacing with 31572_duplicate1
Warning: Duplicate variant ID 32413 in sam4.Filter.Stand.vcf; Replacing with 32413_duplicate1
